Asset,Decision,ReStory fit / office role,Triangles,UVs,Material variants needed
Assets/3DreaMax Studio/036_Retro Office Props Pack Vol-1/Prefabs/URP/Combined/PF_File_Box 1.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",11972,True,M_Office_Accessories V2; M_Office_Accessories; M_Paper
Assets/3DreaMax Studio/036_Retro Office Props Pack Vol-1/Prefabs/URP/Combined/PF_File_Box.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",11972,True,M_Office_Accessories V2; M_Office_Accessories; M_Paper
Assets/3DreaMax Studio/036_Retro Office Props Pack Vol-1/Prefabs/URP/Combined/PF_File_Shelf.prefab,Selected,Administration; use shared painted material treatment and measured placement,15622,True,M_Cabinate_And_File; M_Office_Accessories V2; M_Office_Accessories
Assets/3DreaMax Studio/036_Retro Office Props Pack Vol-1/Prefabs/URP/Combined/PF_File_Shelf_V2.prefab,Selected,Administration; use shared painted material treatment and measured placement,18372,True,M_Cabinate_And_File; M_Office_Accessories V2; M_Office_Accessories
Assets/3DreaMax Studio/036_Retro Office Props Pack Vol-1/Prefabs/URP/Combined/PF_Office_File.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",592,True,M_Cabinate_And_File; M_Office_Accessories V2
Assets/3DreaMax Studio/036_Retro Office Props Pack Vol-1/Prefabs/URP/Combined/PF_Paper_Waste.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",1906,True,M_Office_Accessories V2; M_Office_Accessories V2_AlphaClipping; M_Paper
Assets/3DreaMax Studio/036_Retro Office Props Pack Vol-1/Prefabs/URP/Combined/PF_Pen_Holder.prefab,Selected,Administration / Clerk desk; use shared painted material treatment and measured placement,1554,True,M_Table_Accessories
Assets/3DreaMax Studio/036_Retro Office Props Pack Vol-1/Prefabs/URP/PF_Air_Conditioner.prefab,Selected,Administration; use shared painted material treatment and measured placement,1266,True,M_Air_Conditioner
Assets/3DreaMax Studio/036_Retro Office Props Pack Vol-1/Prefabs/URP/PF_Ashtry.prefab,Not selected,"Conflicts with current functional-office scope, digital clock, or removal of historical clutter",514,True,M_Office_Accessories
Assets/3DreaMax Studio/036_Retro Office Props Pack Vol-1/Prefabs/URP/PF_Book.prefab,Conditional,Fixed text/art requires replacement or runtime localisation; avoid duplicate narrative clutter,72,True,M_Office_Accessories V2
